case_id,patent_number,proceeding_number,patent_title,patent_type,legal_focus,result_cn,summary
us_0224,US10716793B2,IPR2021-00406,Treprostinil administration by inhalation,用途/适应症,printed publication / inhaled treprostinil / obviousness,全部无效,要点：会议资料能否作为 printed publication，关键不在于是否正式期刊发表，而在于相关专业公众是否能够合理取得。本案涉及用 metered dose inhaler 吸入给药 treprostinil。PTAB 在 rehearing 后认定 Voswinckel JESC 和 JAHA 已在专业会议中充分分发，构成现有技术；结合既有 treprostinil 吸入治疗公开，请求人证明 claims 1–8 显而易见。最终结果为全部无效。
us_0243,US10213765B2,IPR2022-00036,Chromatography ligand comprising domain C from Staphylococcus aureus protein A for antibody isolation,生物制品/抗体,antibody purification ligand / obviousness,全部无效,要点：抗体生产纯化用 Protein A 配基的 obviousness 判断，重点是现有技术是否已经教导具体 domain、突变或组合能够提高碱清洗耐受性和抗体结合性能。本案涉及包含 Staphylococcus aureus protein A domain C 的 chromatography ligand。PTAB 认为 Linhult、Abrahmsen、Hober 等文献共同给出配基设计和改造动机，请求人证明被挑战权利要求显而易见。最终结果为全部无效。
us_0244,US10343142B2,IPR2022-00041,Chromatography ligand comprising domain C from Staphylococcus aureus protein A for antibody isolation,生物制品/抗体,antibody purification ligand / partial outcome,部分无效,要点：同一抗体纯化配基案族中，具体从属限制可能影响无效范围。PTAB 认为多数 claims 中关于 Protein A domain C 配基、碱稳定性和抗体纯化用途的限制已由 Linhult、Abrahmsen、Hober 等组合教导，但 claims 4 和 17 的特定限制没有被请求人充分证明。因此本案不是简单“全案无效”，而是多数权利要求无效、部分权利要求维持。最终结果为部分无效。
us_0246,US10875007B2,IPR2022-00042,Chromatography ligand comprising domain C from Staphylococcus aureus protein A for antibody isolation,生物制品/抗体,antibody purification ligand / partial outcome,部分无效,要点：对于生物工艺工具类专利，PTAB 会逐项核对每个 dependent claim 是否被现有技术组合覆盖。本案涉及同一 Protein A domain C chromatography ligand 技术。PTAB 认定 claims 1–10、12–14、16–28、30–32、34–37 已被证明显而易见，但 claims 11 和 29 未被充分证明。该案说明，即使主组合动机成立，未被文献具体覆盖的从属技术特征仍可能保留。最终结果为部分无效。
us_0249,US10307384B2,IPR2022-00089,"Zeaxanthin formulations with additional ocular-active nutrients, for protecting eye health and treating eye disorders",制剂/组合物,ocular nutrient formulation / anticipation,全部无效,要点：眼健康营养组合物如果只是把 zeaxanthin 与其他已知 ocular-active nutrients 组合，专利性取决于具体组分和含量是否已由既有文献公开。本案涉及用于保护眼健康或治疗眼部疾病的 zeaxanthin 口服制剂。PTAB 认为 Lang 和 Barker 等现有技术已经公开多项权利要求中的核心组合特征；虽然个别 claim 对单一文献未成立，但整体被挑战 claims 12–14、16–21、23、24 最终均被认定不可专利。最终结果为全部无效。
us_0254,US10940145B2,IPR2022-00414,Ophthalmic composition,制剂/组合物,ophthalmic atropine formulation / obviousness,全部无效,要点：低浓度眼科制剂的 obviousness 判断，会关注活性成分浓度、pH、均匀分布、稳定性和载体是否只是常规制剂优化。本案涉及低浓度 ophthalmic agent 治疗近视或近视进展的眼科组合物。PTAB 认为 Chia 和 Akorn 已经教导低浓度阿托品眼科制剂及相关制剂参数，本领域技术人员有动机进行常规调整并具有成功预期。最终结果为全部无效。
us_0255,US10888557B2,IPR2022-00415,Ophthalmic composition,制剂/组合物,ophthalmic formulation / obviousness combinations,全部无效,要点：眼科组合物中所谓“低浓度”“均匀分布”或可接受载体等限制，如果现有商业制剂、处方文献或稳定性文献已经给出可行方案，通常难以单独支撑创造性。本案涉及同族 ophthalmic composition。PTAB 认为 Chia、Akorn、Kondritzer、Lund、Wu 等组合足以使 claims 1–7、11–20 显而易见。最终结果为全部无效。
us_0256,US8293742B2,IPR2022-00142,Preferential vasoconstriction compositions and methods of use,制剂/组合物,low-dose alpha-2 agonist / inherency / anticipation,全部无效,要点：低浓度 alpha-2 adrenergic agonist 用于优先收缩小血管时，若现有技术已经公开相同或重叠浓度和用途，权利要求中关于“preferential vasoconstriction”的功能性表述可能被视为现有组合物的自然结果。本案涉及缓解眼红、鼻塞等场景的低浓度血管收缩组合物。PTAB 虽未接受所有 anticipation 理由，但最终认为请求人证明 claims 1–6 不可专利。最终结果为全部无效。
us_0270,US8357786B2,IPR2022-00998,"Method for preparing Gynostemma pentaphyllum extract with increasing damulin A and damulin B contents, and pharmaceutical compositions of the same for treating metabolic disease",制备方法/中间体,botanical extract / obviousness / process-composition link,维持有效,要点：植物提取物药物组合物的 obviousness 不能只证明植物来源或治疗方向已知，还要证明现有技术会引导本领域技术人员采用具体处理条件以提高特定活性成分含量。本案涉及通过高温高压处理 Gynostemma pentaphyllum extract，提高 damulin A/B 含量并用于代谢疾病。PTAB 认为 Kim、WO 178 等组合没有充分证明会得到权利要求要求的提取物组成和治疗效果。最终结果为维持有效。
us_0278,US8058061B2,IPR2023-00074,Vector encoding human globin gene and use thereof in treatment of hemoglobinopathies,用途/适应症,lentiviral globin vector / anticipation / obviousness,维持有效,要点：基因治疗载体的 anticipation 需要现有技术公开完整载体构型，而不能只公开治疗目标或部分调控元件。本案涉及编码 functional beta-globin gene 并含 beta-globin locus control region 大片段的 recombinant lentiviral vector，用于治疗 hemoglobinopathies。PTAB 认为 May Thesis、May Article、May Abstract 等没有充分公开或提示权利要求要求的完整组合，Himanen 也不能弥补缺口。最终结果为维持有效。
